h;V;C;L*;a*;b*;R;G;B
10RP;4;10;41.22;44.46;6.99;0.6497;0.2332;0.3436
10RP;4;12;41.22;53.32;7.92;0.6947;0.1768;0.3396
10RP;4;14;41.22;61.69;8.58;0.7358;0.0887;0.3375
2.5R;4;2;41.22;9.57;3;0.4521;0.3584;0.3628
2.5R;4;4;41.22;18.58;5.88;0.511;0.3336;0.346
2.5R;4;6;41.22;27.3;8.55;0.5636;0.3053;0.3306
2.5R;4;8;41.22;36.09;11.13;0.6131;0.2712;0.316
2.5R;4;10;41.22;44.31;13.46;0.6573;0.2316;0.3033
2.5R;4;12;41.22;52.66;15.73;0.7005;0.1779;0.2912
2.5R;4;14;41.22;61.51;17.86;0.7446;0.0823;0.2803
5R;4;2;41.22;9.44;4.4;0.4543;0.3585;0.3538
5R;4;4;41.22;18.34;8.94;0.5156;0.3334;0.3266
5R;4;6;41.22;26.62;13.18;0.5674;0.3062;0.3011
5R;4;8;41.22;35.18;17.58;0.617;0.273;0.2752
5R;4;10;41.22;43.04;21.67;0.6603;0.2353;0.2514
5R;4;12;41.22;50.94;25.82;0.7018;0.1864;0.2274
5R;4;14;41.22;59.62;30.11;0.7455;0.1022;0.2031
7.5R;4;2;41.22;9.18;5.41;0.4552;0.3588;0.3475
7.5R;4;4;41.22;17.92;11.25;0.5173;0.334;0.3119
7.5R;4;6;41.22;25.88;16.87;0.5687;0.3078;0.2776
7.5R;4;8;41.22;34.05;22.95;0.6172;0.2763;0.2406
7.5R;4;10;41.22;41.52;28.65;0.659;0.2415;0.206
7.5R;4;12;41.22;49;34.52;0.6988;0.1974;0.1696
